angDist,col1,EPIC,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.667060,786,2.11040918E8,034634.20+233726.4,56.64252,23.624010000000002,HII1084,,7.06,0.15,,,,,,,best,,,,1.0,,,,136340566422678817, 56.642584170, 23.623834280,0.001,0.001,90,1343750144,160,56072.561446760,2,3,7.4798,0.0679,12.1925,0.0429,114736,6.9092,0.0010,12.4369,0.0010,114736,,,,,0,,,,,0,,,,,0
0.649337,787,2.11090558E8,034642.97+242450.7,56.679069999999996,24.4141,BPL108,,14.42,9.21,,,,,,,best,,,,1.0,,,,137290566791477302, 56.679175360, 24.413947260,0.009,0.004,90,503635968,60,56218.093761570,4,38,21.6210,,,,16420,21.9006,0.2110,,,114992,19.4993,0.0064,19.5795,0.0134,115000,18.1151,0.0044,18.1985,0.0081,115000,17.2531,0.0101,17.3473,0.0200,115000
0.713968,788,2.11056608E8,034700.35+235248.3,56.75148000000001,23.8801,UGCSJ034700.35+235248.1,,13.1,6.24,,,,,,,best,,,,1.0,,,,136650567515316467, 56.751550420, 23.879912420,0.008,0.002,90,503635968,60,55944.936168980,5,66,20.0949,0.0211,20.2733,0.0373,115000,18.6838,0.0055,18.7886,0.0136,115000,16.7330,0.0057,16.8086,0.0058,115000,15.8328,0.0049,15.8920,0.0028,115000,15.3813,0.0031,15.4277,0.0061,115000
1.132055,789,2.10837725E8,034705.34+202639.5,56.772259999999996,20.44432,s4798986,,10.61,4.62,,,,,,,ok,,,,1.0,,,true,132530567723093485, 56.772373410, 20.444024040,0.056,0.036,90,503635968,60,56232.974201390,5,69,15.9298,0.0057,15.9866,0.0086,115000,14.7183,0.0036,14.7636,0.0023,115000,14.8340,0.0425,14.4893,0.0229,16892472,12.9520,0.0006,13.0067,0.0015,16892216,12.7060,0.0016,12.7233,0.0028,115000
0.760341,790,2.11080604E8,034709.41+241534.9,56.78921,24.2597,HHJ37,19.71,13.56,6.04,,,,,,,best,,,,1.0,,,,137110567892852004, 56.789303050, 24.259506580,0.004,0.003,0,503635968,60,55951.502280090,5,53,20.4804,0.0418,20.6509,0.0447,115000,19.0516,0.0112,19.2167,0.0174,115000,17.1645,0.0043,17.2303,0.0067,115000,16.2728,0.0030,16.3374,0.0073,115000,15.8392,0.0065,15.8889,0.0092,115000
0.752810,791,2.11078329E8,034711.78+241331.4,56.79909,24.22541,BPL130,,13.88,7.18,,,,,,,best,,,,1.0,,,,137070567991710857, 56.799188680, 24.225221240,0.005,0.003,0,503635968,60,56048.226354170,5,54,21.8158,0.0021,22.2611,0.2629,115000,20.4842,0.0187,20.7812,0.0470,115000,18.0735,0.0060,18.1837,0.0079,115000,16.9477,0.0052,17.0228,0.0058,115000,16.3531,0.0050,16.4204,0.0117,115000
0.755873,792,2.11078745E8,034711.85+241353.9,56.7994,24.23165,DH499,,13.13,6.26,,,,,,,best,,,,1.0,,,,137070567994788347, 56.799496630, 24.231459420,0.008,0.002,0,503636096,60,55977.866608800,5,74,20.0872,0.0268,20.2369,0.0760,115000,18.7478,0.0084,18.9061,0.0178,115000,16.8153,0.0020,16.8936,0.0037,115000,15.9028,0.0036,15.9676,0.0030,115000,15.4533,0.0049,15.5129,0.0078,115000
0.027136,793,2.11072836E8,034719.34+240820.8,56.830619999999996,24.139120000000002,HII1362,8.25,7.64,0.5,,,,,,,best,,,,1.0,,,,136960568304767339, 56.830625000, 24.139126000,0.054,0.054,90,1409359872,168,51811.508391200,3,7,8.3310,,,,68,8.2950,,,,114788,8.3610,,,,68,8.4540,,,,114788,8.5030,,,,114788
0.718553,793,2.11072836E8,034719.34+240820.8,56.830619999999996,24.139120000000002,HII1362,8.25,7.64,0.5,,,,,,,best,,,,1.0,,,,136960568308707371, 56.830694690, 24.138932400,0.001,0.001,90,268959744,32,55784.359085650,0,12,9.0368,0.0010,11.7275,0.0010,16,9.2482,0.2461,12.1925,0.0000,24,,,,,0,7.8725,0.0041,13.2343,0.0014,24,8.5354,0.3089,11.1213,0.0340,24
1.076432,793,2.11072836E8,034719.34+240820.8,56.830619999999996,24.139120000000002,HII1362,8.25,7.64,0.5,,,,,,,best,,,,1.0,,,,136960568305527013, 56.830543750, 24.138829200,0.092,0.092,90,268959744,32,55942.091099540,0,13,8.4256,0.0768,11.4904,0.0797,24,,,,,0,8.0310,,11.6024,0.2893,24,8.2406,0.0010,11.6700,0.0010,24,8.6343,0.2768,12.4932,0.0010,24
