,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
6,211748286.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,342.9055626968591,77.55038304686045,6.84517964663079e+31,4.005958219932256e+31,2.8,1.5734065758134492e+32,740,0.5852232412781155
52,211885995.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,53.405859662651864,20.536334188979307,8.366335461397645e+31,5.938966374983244e+31,2.428571428571429,1.643439904194148e+32,740,0.7098647194325035
232,211946016.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,125.40243582208274,29.478143160395007,8.131706917509436e+31,5.443570554905733e+31,4.0,1.6516839980649572e+32,740,0.6694253260879919
388,211989060.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,178.7197354014918,56.02365791804385,3.5676548540072357e+31,2.399385968043404e+31,3.25,1.690329001242783e+32,740,0.6725387029376967
517,212083165.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,224.4524954840609,49.72553729807398,6.637336901635076e+31,4.269276379009747e+31,2.5454545454545454,1.695123362900703e+32,740,0.6432212862297273
210,211939462.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,277.3905819099772,60.6076572505647,2.472148014613462e+32,1.3445090173183746e+32,4.25,1.701050522975106e+32,740,0.5438626689707323
241,211950298.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,383.4140839471342,76.59882418474774,7.653822419867533e+31,4.2773195089703425e+31,3.8333333333333335,1.7149088088710583e+32,740,0.558847497933506
23,211832848.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,291.12117897369797,395.96318608664376,8.608812033399074e+31,1.5339281607182466e+32,1.6666666666666667,1.7155849622389107e+32,740,1.781811653881117
71,211896957.0,2.0152606473591297e+27,1.1600772812766656e+27,3030.0,7000.0,3000.0,996.1954294180922,222.32201874117555,7.990698550128725e+31,4.324708667889953e+31,1.6666666666666667,1.7156442228872823e+32,740,0.5412178473207808
330,211978983.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,1342.3595036528716,301.4206528880294,3.969522481646213e+32,2.5652055009811897e+32,1.2727272727272727,1.736464000261022e+32,740,0.6462252104231352
441,212011416.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,122.75047788684455,27.5713565843847,7.959741001970792e+31,5.24523059699774e+31,2.5,1.736749569636945e+32,740,0.6589700086597098
146,211918605.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,152.3386219063824,28.428179260860524,9.878380889805989e+31,6.134165795319968e+31,1.5,1.73676434183966e+32,740,0.62096874616873
