,Unnamed: 0,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,age,saturated
385,320,210988354,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,415.7892245501887,76.8269700742711,4.831575380906394e+32,2.496507862894208e+32,1.875,7.372235680494217e+32,2919.0,2927.0,712,0.125,False
386,795,211051975,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,2491.088333429187,446.0662953849804,2.115135844660559e+32,1.050440328568004e+32,2.6,7.431835386546369e+32,2617.0,2630.0,712,0.125,False
387,247,210967582,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,5100.403645253341,964.4637710827583,4.330655973753485e+32,2.194174262668445e+32,1.75,7.541504167848885e+32,892.0,899.0,712,0.125,False
388,1407,211117529,2.53706284034917e+28,2.190676153566424e+28,3250,7000.0,3000.0,1020.5455776948613,196.89522197985679,3.017879042969077e+32,1.8548220963448168e+32,2.0,7.62792698614444e+32,756.0,763.0,712,0.125,False
389,1549,220115919,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,1058.5812478588452,193.4882301999572,6.748128495919422e+32,4.165358158495122e+32,1.1,7.719343359988344e+32,1291.0,1302.0,712,0.125,False
390,1514,211139797,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,833.741663968565,174.34149585535937,5.314845593799679e+32,3.420570124291507e+32,2.375,7.737164039728726e+32,1972.0,1975.0,712,0.125,False
391,1480,211129308,2.1593906887309408e+31,7.706880255224127e+30,4230,7000.0,3000.0,58.92426221860223,19.96163050518565,4.4861272929209425e+32,3.37199896976649e+32,1.3846153846153846,7.745138909095395e+32,3108.0,3110.0,712,0.125,True
392,1155,211081985,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,727.1097578146467,120.40532983878256,4.6351001269808565e+32,2.781407553521865e+32,1.875,7.746307128955331e+32,883.0,896.0,712,0.125,False
393,925,211063744,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,1635.7437657616747,489.4098130138103,1.04273612819852e+33,7.650321863888734e+32,1.875,7.761943626464698e+32,3086.0,3087.0,712,0.125,False
394,986,211068579,1.1866734460852196e+30,4.7817290276134684e+29,3700,7000.0,3000.0,141.54182552621012,27.880077619694532,2.789582852632237e+32,1.4480827870193187e+32,4.5,7.882699079852302e+32,3105.0,3108.0,712,0.125,True
395,211,210947895,2.4228762028039462e+29,8.089374008782233e+28,3500,7000.0,3000.0,323.8873835565719,319.5429348329937,2.8865347435537016e+32,3.7870097250828e+32,2.2,7.908907365035503e+32,2082.0,2088.0,712,0.125,False
396,1276,211098117,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,482.6031423059375,99.01662676908177,3.0764459727603333e+32,1.967856292965684e+32,2.125,7.946600591318113e+32,2514.0,2517.0,712,0.125,False
397,499,211016313,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2223.0222173443617,465.9261999107616,4.437661003949954e+32,2.523510989493426e+32,3.0,7.991852489235344e+32,2096.0,2099.0,712,0.125,False
398,110,210880560,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,8097.170606409108,1599.835805367161,6.87515394782151e+32,3.541701046754823e+32,1.75,8.020145154959522e+32,2076.0,2081.0,712,0.125,False
399,1240,211092630,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,517.0661344660493,118.96555100347427,3.29613690335323e+32,2.190475955626986e+32,4.5,8.028325972762843e+32,2366.0,2368.0,712,0.125,False
400,325,210991540,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2082.759920603391,331.5195630350242,4.1576653657077804e+32,2.1546675167391588e+32,2.2857142857142856,8.051634957123258e+32,1183.0,1191.0,712,0.125,False
401,438,211008337,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,1439.6900422532215,319.5309217014073,2.8739507452671143e+32,1.669796448927149e+32,3.666666666666667,8.218000677389691e+32,1480.0,1482.0,712,0.125,False
402,334,210995339,1.459927281870955e+32,4.706249514527933e+31,4830,7000.0,3000.0,24.23942569422364,5.792821605736351,4.611575918279491e+32,2.988167581461992e+32,1.7,8.23864664779096e+32,2411.0,2413.0,712,0.125,True
403,870,211059767,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,3074.60554965424,638.1111490924967,6.137616189247096e+32,3.477628611868788e+32,1.7,8.265722547878506e+32,1134.0,1137.0,712,0.125,False
404,450,211010041,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,6913.432118359655,1290.9378869014467,5.870064054709991e+32,2.960239939404187e+32,1.5333333333333332,8.338754853376656e+32,2177.0,2197.0,712,0.125,False
405,550,211023687,8.401004635966278e+29,3.385204907166215e+29,3650,7000.0,3000.0,456.534708107188,88.67291953905267,7.153132641295178e+32,3.714968169224e+32,1.181818181818182,8.345354616951103e+32,2697.0,2703.0,712,0.125,True
406,1055,211076650,2.4228762028039462e+29,8.089374008782233e+28,3500,7000.0,3000.0,578.1333953675389,115.03808035407921,5.1524147492629566e+32,2.7016812645209245e+32,2.363636363636364,8.530221205015718e+32,1763.0,1768.0,712,0.125,False
407,1202,211087739,2.4228762028039462e+29,8.089374008782233e+28,3500,7000.0,3000.0,752.4762698585159,136.62668009159265,6.706185566091727e+32,3.399633481904594e+32,2.6363636363636367,8.544848847508005e+32,1799.0,1811.0,712,0.125,False
408,1007,211070577,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2138.9985039074772,419.8589678863787,4.269930446145919e+32,2.371323818666068e+32,3.75,8.598702915582905e+32,1012.0,1016.0,712,0.125,False
